index_name,Date,Open,High,Low,Close
Nasdaq,1/2/2018,6937.649902,7006.910156,6924.080078,7006.899902
Nasdaq,1/3/2018,7017.069824,7069.149902,7016.700195,7065.529785
Nasdaq,1/4/2018,7089.5,7098.049805,7072.379883,7077.910156
Nasdaq,1/5/2018,7105.740234,7137.040039,7097.080078,7136.560059
Nasdaq,1/8/2018,7135.379883,7161.350098,7124.089844,7157.390137
Nasdaq,1/9/2018,7174.189941,7181.140137,7148.299805,7163.580078
Nasdaq,1/10/2018,7129.830078,7154.240234,7111.52002,7153.569824
Nasdaq,1/11/2018,7168.72998,7211.779785,7163.22998,7211.779785
Nasdaq,1/12/2018,7208.169922,7265.259766,7205.180176,7261.060059
Nasdaq,1/16/2018,7307.189941,7330.330078,7205.930176,7223.689941
Nasdaq,1/17/2018,7257.77002,7309.359863,7229.319824,7298.279785
Nasdaq,1/18/2018,7293.649902,7313.890137,7276.109863,7296.049805
Nasdaq,1/19/2018,7312,7336.379883,7297.279785,7336.379883
Nasdaq,1/22/2018,7338.040039,7408.029785,7332.810059,7408.029785
Nasdaq,1/23/2018,7424.950195,7465.390137,7423.180176,7460.290039
Nasdaq,1/24/2018,7474.160156,7486.319824,7376.75,7415.060059
Nasdaq,1/25/2018,7457.950195,7458.529785,7388.580078,7411.160156
Nasdaq,1/26/2018,7448.330078,7505.77002,7431.220215,7505.77002
Nasdaq,1/29/2018,7484.470215,7500.609863,7455.549805,7466.509766
Nasdaq,1/30/2018,7388.890137,7433.649902,7373.990234,7402.47998
Nasdaq,1/31/2018,7443.25,7453.990234,7381.120117,7411.47998
Nasdaq,2/1/2018,7377.169922,7441.089844,7362.279785,7385.859863
Nasdaq,2/2/2018,7347.589844,7364.430176,7238.180176,7240.950195
Nasdaq,2/5/2018,7165.959961,7277.359863,6967.529785,6967.529785
Nasdaq,2/6/2018,6837.560059,7126.549805,6824.819824,7115.879883
Nasdaq,2/7/2018,7086.200195,7170.339844,7051.529785,7051.97998
Nasdaq,2/8/2018,7067.299805,7073.990234,6776.77002,6777.160156
Nasdaq,2/9/2018,6863.339844,6917.009766,6630.669922,6874.490234
Nasdaq,2/12/2018,6936.680176,7023.620117,6879.689941,6981.959961
Nasdaq,2/13/2018,6942.160156,7025.680176,6938.160156,7013.509766
Nasdaq,2/14/2018,6979.240234,7152.049805,6977.069824,7143.620117
Nasdaq,2/15/2018,7200.75,7256.930176,7130.390137,7256.430176
Nasdaq,2/16/2018,7236.509766,7303.259766,7226.379883,7239.470215
Nasdaq,2/20/2018,7209.029785,7295.950195,7206,7234.310059
Nasdaq,2/21/2018,7258.47998,7338.640137,7218.109863,7218.22998
Nasdaq,2/22/2018,7252.459961,7280.930176,7194.839844,7210.089844
Nasdaq,2/23/2018,7261.350098,7337.830078,7232.5,7337.390137
Nasdaq,2/26/2018,7373.299805,7421.850098,7360.25,7421.459961
Nasdaq,2/27/2018,7416.169922,7438.089844,7330.350098,7330.350098
Nasdaq,2/28/2018,7371.410156,7386.799805,7273.009766,7273.009766
Nasdaq,3/1/2018,7274.75,7307.850098,7117.660156,7180.560059
Nasdaq,3/2/2018,7099.540039,7267.189941,7084.830078,7257.870117
Nasdaq,3/5/2018,7222.890137,7350.069824,7205.310059,7330.709961
Nasdaq,3/6/2018,7366.609863,7378.029785,7319.680176,7372.009766
Nasdaq,3/7/2018,7311.740234,7403.790039,7311.740234,7396.649902
Nasdaq,3/8/2018,7422.77002,7435.009766,7391.5,7427.950195
Nasdaq,3/9/2018,7475.97998,7560.810059,7469.029785,7560.810059
Nasdaq,3/12/2018,7581.040039,7609.100098,7563.439941,7588.319824
Nasdaq,3/13/2018,7627.52002,7637.27002,7492.97998,7511.009766
Nasdaq,3/14/2018,7539.779785,7544.890137,7473.899902,7496.810059
Nasdaq,3/15/2018,7509.240234,7525.439941,7463.189941,7481.740234
Nasdaq,3/16/2018,7504.370117,7514.209961,7473.680176,7481.990234
Nasdaq,3/19/2018,7419.200195,7421.22998,7285.27002,7344.240234
Nasdaq,3/20/2018,7353.25,7380.740234,7331.240234,7364.299805
Nasdaq,3/21/2018,7347.5,7415.660156,7325.350098,7345.290039
Nasdaq,3/22/2018,7257.549805,7303.189941,7164.379883,7166.680176
Nasdaq,3/23/2018,7170.680176,7194.310059,6992.669922,6992.669922
Nasdaq,3/26/2018,7125.200195,7225.830078,7022.339844,7220.540039
Nasdaq,3/27/2018,7255.470215,7255.540039,6963.680176,7008.810059
Nasdaq,3/28/2018,6978.299805,7036.089844,6901.069824,6949.22998
Nasdaq,3/29/2018,6984.660156,7120.459961,6935.779785,7063.450195
Nasdaq,4/2/2018,7016.169922,7044.709961,6805.959961,6870.120117
Nasdaq,4/3/2018,6924.350098,6963.709961,6835.22998,6941.279785
Nasdaq,4/4/2018,6811.77002,7059.290039,6811.77002,7042.109863
Nasdaq,4/5/2018,7099.25,7112.379883,7036.620117,7076.549805
Nasdaq,4/6/2018,6999.569824,7066.640137,6877.759766,6915.109863
Nasdaq,4/9/2018,6971.450195,7074.950195,6944.959961,6950.339844
Nasdaq,4/10/2018,7060.990234,7117.97998,7014.879883,7094.299805
Nasdaq,4/11/2018,7055,7128.540039,7055,7069.029785
Nasdaq,4/12/2018,7112.02002,7166,7105.089844,7140.25
Nasdaq,4/13/2018,7179.620117,7183.620117,7078.140137,7106.649902
Nasdaq,4/16/2018,7153.870117,7178.509766,7115.850098,7156.279785
Nasdaq,4/17/2018,7215.120117,7298.589844,7206.549805,7281.100098
Nasdaq,4/18/2018,7292.379883,7319.580078,7259.899902,7295.240234
Nasdaq,4/19/2018,7258.609863,7277.450195,7215.169922,7238.060059
Nasdaq,4/20/2018,7220.640137,7222.990234,7123.490234,7146.129883
Nasdaq,4/23/2018,7173.990234,7195.720215,7094.430176,7128.600098
Nasdaq,4/24/2018,7160.77002,7171.669922,6961.52002,7007.350098
