index_name,Date,Open,High,Low,Close
NYSE,12/31/2020,14469.00,14533.21,14422.74,14524.80
NYSE,12/30/2020,14447.96,14520.57,14447.96,14477.48
NYSE,12/29/2020,14500.03,14515.82,14371.87,14397.92
NYSE,12/28/2020,14476.35,14481.48,14396.23,14405.77
NYSE,12/24/2020,14387.08,14390.24,14324.77,14382.50
NYSE,12/23/2020,14397.01,14457.29,14397.01,14398.62
NYSE,12/22/2020,14368.56,14368.99,14305.62,14321.34
NYSE,12/21/2020,14257.73,14408.11,14171.77,14378.85
NYSE,12/18/2020,14525.74,14529.88,14394.35,14467.82
NYSE,12/17/2020,14488.69,14519.99,14472.19,14516.73
NYSE,12/16/2020,14426.08,14442.89,14370.50,14408.94
NYSE,12/15/2020,14303.03,14410.15,14271.36,14402.32
NYSE,12/14/2020,14445.36,14459.65,14214.04,14214.93
NYSE,12/11/2020,14332.98,14369.25,14260.89,14355.29
NYSE,12/10/2020,14310.40,14413.06,14290.93,14394.34
NYSE,12/9/2020,14466.07,14476.68,14293.27,14374.08
NYSE,12/8/2020,14304.14,14424.98,14304.15,14402.17
NYSE,12/7/2020,14375.55,14386.98,14314.47,14354.97
NYSE,12/4/2020,14299.51,14417.40,14297.73,14417.33
NYSE,12/3/2020,14210.54,14283.73,14184.48,14217.18
NYSE,12/2/2020,14104.07,14198.79,14076.72,14188.24
NYSE,12/1/2020,14183.45,14233.47,14131.32,14146.64
NYSE,11/30/2020,14140.95,14140.95,13977.05,14006.47
NYSE,11/27/2020,14209.89,14229.12,14165.71,14198.50
NYSE,11/25/2020,14187.34,14203.44,14122.10,14191.58
NYSE,11/24/2020,14158.71,14271.09,14138.38,14249.50
NYSE,11/23/2020,13934.20,14029.32,13911.31,13998.24
NYSE,11/20/2020,13853.12,13883.45,13810.24,13827.00
NYSE,11/19/2020,13765.52,13871.26,13714.27,13863.23
NYSE,11/18/2020,13986.41,14004.61,13808.37,13808.65
NYSE,11/17/2020,13880.81,13989.34,13818.76,13949.10
NYSE,11/16/2020,13946.19,13985.51,13879.18,13982.19
NYSE,11/13/2020,13644.95,13787.70,13644.95,13761.32
NYSE,11/12/2020,13645.45,13675.25,13476.23,13551.47
NYSE,11/11/2020,13779.93,13779.93,13669.89,13724.78
NYSE,11/10/2020,13663.18,13732.62,13577.02,13707.99
NYSE,11/9/2020,13726.21,13930.88,13608.38,13611.65
NYSE,11/6/2020,13233.45,13270.47,13188.23,13218.68
NYSE,11/5/2020,13125.75,13252.82,13125.75,13199.12
NYSE,11/4/2020,12916.23,13161.52,12868.62,12978.95
NYSE,11/3/2020,12781.17,12936.90,12781.17,12877.45
NYSE,11/2/2020,12573.34,12675.13,12535.93,12662.16
NYSE,10/30/2020,12448.69,12492.62,12293.75,12429.28
NYSE,10/29/2020,12409.04,12584.47,12317.80,12502.29
NYSE,10/28/2020,12575.29,12617.57,12411.10,12415.42
NYSE,10/27/2020,12921.25,12934.11,12817.87,12817.87
NYSE,10/26/2020,13063.80,13063.81,12815.29,12936.39
NYSE,10/23/2020,13208.61,13215.59,13117.82,13199.86
NYSE,10/22/2020,13048.69,13162.80,13002.96,13145.92
NYSE,10/21/2020,13085.62,13153.42,13039.35,13040.13
NYSE,10/20/2020,13085.03,13198.02,13073.16,13092.16
NYSE,10/19/2020,13218.76,13247.75,12999.41,13018.51
NYSE,10/16/2020,13183.61,13241.53,13164.54,13169.32
NYSE,10/15/2020,12974.13,13148.70,12960.98,13137.25
NYSE,10/14/2020,13222.36,13267.16,13135.90,13143.16
NYSE,10/13/2020,13271.25,13280.19,13181.59,13211.95
NYSE,10/12/2020,13289.55,13350.59,13274.94,13324.88
NYSE,10/9/2020,13256.82,13297.00,13207.59,13252.62
NYSE,10/8/2020,13116.13,13191.01,13100.97,13190.58
NYSE,10/7/2020,12950.56,13073.00,12950.56,13042.33
NYSE,10/6/2020,12995.95,13083.30,12824.20,12837.88
NYSE,10/5/2020,12842.49,12957.56,12842.49,12949.65
NYSE,10/2/2020,12554.12,12803.52,12551.97,12749.79
NYSE,10/1/2020,12759.66,12792.63,12656.31,12726.84
NYSE,9/30/2020,12643.45,12795.63,12621.51,12701.89
NYSE,9/29/2020,12660.93,12688.70,12562.53,12602.64
NYSE,9/28/2020,12650.05,12735.16,12642.97,12677.54
NYSE,9/25/2020,12293.90,12507.93,12281.98,12485.38
NYSE,9/24/2020,12314.58,12476.13,12228.97,12365.54
NYSE,9/23/2020,12630.53,12657.20,12355.43,12359.16
NYSE,9/22/2020,12575.19,12636.22,12502.25,12602.54
NYSE,9/21/2020,12617.45,12833.57,12421.15,12561.78
NYSE,9/18/2020,12937.60,12962.65,12779.40,12833.57
NYSE,9/17/2020,12866.17,12981.34,12824.44,12948.45
NYSE,9/16/2020,13013.46,13128.68,12990.70,12997.86
NYSE,9/15/2020,13010.97,13047.48,12942.52,12967.18
NYSE,9/14/2020,12868.31,12970.57,12858.18,12932.69
NYSE,9/11/2020,12779.98,12827.86,12683.34,12773.04
NYSE,9/10/2020,12924.50,12964.20,12688.32,12706.69
NYSE,9/9/2020,12806.24,12969.47,12803.74,12885.80
NYSE,9/8/2020,12777.55,12816.00,12659.16,12688.07
NYSE,9/4/2020,13022.47,13069.97,12723.79,12917.15
NYSE,9/3/2020,13253.80,13285.09,12887.60,12966.14
NYSE,9/2/2020,13132.71,13299.73,13112.82,13276.74
NYSE,9/1/2020,13032.04,13113.93,13004.17,13113.74
NYSE,8/31/2020,13134.39,13136.55,13043.63,13045.60
NYSE,8/28/2020,13115.37,13173.97,13066.72,13170.96
NYSE,8/27/2020,13066.15,13111.45,13012.97,13068.81
NYSE,8/26/2020,13006.18,13057.86,12975.96,13042.54
NYSE,8/25/2020,13029.90,13029.90,12943.15,13001.99
NYSE,8/24/2020,12904.95,12973.40,12881.40,12972.88
NYSE,8/21/2020,12782.06,12814.11,12762.94,12809.07
NYSE,8/20/2020,12751.29,12832.32,12739.00,12812.86
NYSE,8/19/2020,12931.08,12946.81,12843.29,12859.88
NYSE,8/18/2020,12967.94,12975.54,12877.19,12910.33
NYSE,8/17/2020,12942.31,12954.91,12917.72,12936.11
NYSE,8/14/2020,12864.74,12932.90,12856.69,12902.50
NYSE,8/13/2020,12921.70,12967.43,12885.51,12919.15
NYSE,8/12/2020,12984.90,13010.96,12941.88,12974.82
NYSE,8/11/2020,12979.08,13005.57,12826.87,12849.37
NYSE,8/10/2020,12797.78,12854.52,12794.53,12844.02
NYSE,8/7/2020,12656.47,12766.05,12648.90,12765.84
NYSE,8/6/2020,12702.88,12731.29,12659.31,12729.16
NYSE,8/5/2020,12703.26,12751.36,12703.26,12731.56
NYSE,8/4/2020,12529.99,12612.57,12523.93,12612.09
NYSE,8/3/2020,12513.21,12562.27,12470.47,12536.81
NYSE,7/31/2020,12509.34,12509.34,12320.73,12465.05
NYSE,7/30/2020,12491.46,12544.80,12393.80,12533.29
NYSE,7/29/2020,12533.46,12688.69,12533.47,12669.62
NYSE,7/28/2020,12515.84,12563.45,12482.27,12491.22
NYSE,7/27/2020,12481.01,12556.56,12444.52,12553.13
NYSE,7/24/2020,12488.68,12522.19,12427.66,12461.78
NYSE,7/23/2020,12567.17,12617.18,12459.06,12510.87
NYSE,7/22/2020,12485.96,12578.98,12480.73,12569.07
NYSE,7/21/2020,12492.08,12570.71,12481.97,12508.68
NYSE,7/20/2020,12413.15,12432.77,12352.72,12392.98
NYSE,7/17/2020,12395.76,12427.49,12339.87,12402.74
NYSE,7/16/2020,12310.18,12381.38,12295.69,12350.11
NYSE,7/15/2020,12377.65,12419.81,12309.26,12391.32
NYSE,7/14/2020,11989.41,12215.15,11963.50,12204.21
NYSE,7/13/2020,12159.75,12242.68,12000.98,12014.66
NYSE,7/10/2020,11935.30,12079.11,11906.21,12075.58
NYSE,7/9/2020,12089.24,12103.16,11831.04,11928.63
NYSE,7/8/2020,12023.57,12095.18,11971.89,12086.40
NYSE,7/7/2020,12056.21,12107.95,11979.77,11990.14
NYSE,7/6/2020,12181.29,12218.19,12114.32,12160.01
NYSE,7/2/2020,12088.70,12138.83,11970.80,11991.52
NYSE,7/1/2020,11907.83,11982.23,11858.82,11901.55
NYSE,6/30/2020,11736.75,11934.97,11724.57,11893.78
NYSE,6/29/2020,11683.07,11777.64,11605.47,11777.08
NYSE,6/26/2020,11796.41,11814.01,11578.81,11604.43
NYSE,6/25/2020,11680.39,11866.20,11640.02,11865.11
NYSE,6/24/2020,11956.29,11961.62,11650.91,11726.54
NYSE,6/23/2020,12157.37,12176.43,12068.09,12077.75
NYSE,6/22/2020,11963.30,12045.65,11907.22,12028.91
NYSE,6/19/2020,12240.31,12240.31,11946.96,11980.12
NYSE,6/18/2020,11994.46,12110.20,11984.71,12072.59
NYSE,6/17/2020,12193.41,12202.58,12068.22,12086.49
NYSE,6/16/2020,12304.14,12318.75,11992.98,12161.47
NYSE,6/15/2020,11565.82,11997.65,11525.36,11942.91
NYSE,6/12/2020,11999.48,12030.94,11640.59,11867.17
